序号,一级分类,二级分类,产品名称,规格名称,计量单位
896,调料干货,调味粉,白冰糖,斤,斤
897,新鲜蔬果,茄果类,小瓜（西葫芦）,斤,斤
898,新鲜蔬果,茄果类,小瓜（西葫芦）,斤（精品）,斤
899,肉类,猪肉类,【热鲜】短猪脚,开边/斤,斤
900,肉类,猪肉类,【热鲜】短猪脚,斤,斤
901,肉类,猪肉类,【热鲜】短猪脚,砍小块/斤,15
902,饮品,饮品,可口可乐罐装330ml,24罐/箱,箱
903,新鲜蔬果,叶菜类,上海青,精品/斤,斤
904,新鲜蔬果,叶菜类,上海青,斤,斤
905,新鲜蔬果,茄果类,冬瓜,斤,斤
906,调料干货,调味粉,红冰糖,斤,斤
907,肉类,猪肉类,【热鲜】后猪脚,开边/斤,斤
908,肉类,猪肉类,【热鲜】后猪脚,斤,斤
909,肉类,猪肉类,【热鲜】后猪脚,砍小块/斤,斤
910,水产冻货,半成品,蒜香排骨,2.5kg*4包/件,件
911,水产冻货,半成品,蒜香排骨,2.5kg/包,包
912,豆品蛋类,包点,安井豆沙包,12包/箱,箱
913,豆品蛋类,包点,安井豆沙包,12个/包,包
914,豆品蛋类,豆制品,绿豆芽,短粗/斤,斤
915,豆品蛋类,豆制品,绿豆芽,斤,斤
916,新鲜蔬果,叶菜类,紫甘蓝,斤,斤
917,新鲜蔬果,根茎类,毛芋头,斤,斤
918,新鲜蔬果,叶菜类,牛心包菜,斤,斤
919,新鲜蔬果,叶菜类,牛心包菜,斤（去皮）,斤
920,肉类,猪肉类,【热鲜】前猪脚,开边/斤,斤
921,肉类,猪肉类,【热鲜】前猪脚,斤,斤
922,肉类,猪肉类,【热鲜】前猪脚,砍小块/斤,斤
923,新鲜蔬果,根茎类,铁棍山药,斤,斤
924,新鲜蔬果,茄果类,老南瓜,斤,斤
925,调料干货,酱腌菜,鱼酸菜,1KG*10/件,件
926,调料干货,酱腌菜,鱼酸菜,1KG/包,包
927,新鲜蔬果,叶菜类,平包,斤,斤
928,新鲜蔬果,叶菜类,平包,斤（去皮）,斤
929,饮品,饮品,百事可乐罐装330ml,330ml*24/件,件
930,新鲜蔬果,根茎类,鲜淮山,斤,斤
931,水产冻货,半成品,芝麻球,2.25kg*4/件,件
932,水产冻货,半成品,芝麻球,2.25kg/包,包
933,调料干货,调味汁,海天老抽酱油1.9L,1.9L*6/件,件
934,调料干货,调味汁,海天老抽酱油1.9L,桶,桶
935,新鲜蔬果,叶菜类,京包,斤,斤
936,新鲜蔬果,叶菜类,京包,斤（去皮）,斤
937,饮品,饮品,农夫山泉,550ml*24瓶/件,件
938,肉类,猪肉类,【热鲜】后蹄髈,斤,斤
939,肉类,猪肉类,【热鲜】后蹄髈,砍小块/斤,斤
940,水产冻货,半成品,炸黄花鱼,10包/件,件
941,水产冻货,半成品,炸黄花鱼,900g/包,包
942,新鲜蔬果,叶菜类,水白菜,斤,斤
943,新鲜蔬果,叶菜类,水白菜,精品/斤,斤
944,新鲜蔬果,根茎类,紫薯,斤,斤
945,饮品,饮品,康师傅矿泉水,550ml*24/件,件
946,新鲜蔬果,根茎类,小红薯,斤,斤
947,肉类,猪肉类,【热鲜】前蹄髈,斤,斤
948,肉类,猪肉类,【热鲜】前蹄髈,砍小块/斤,斤
949,新鲜蔬果,叶菜类,小白菜,精品/斤,斤
950,新鲜蔬果,叶菜类,小白菜,斤,斤
951,水产冻货,半成品,炸带鱼,0.9kg*10包/箱,箱
952,水产冻货,半成品,炸带鱼,0.9kg/包,包
953,肉类,猪肉类,【热鲜】正五花肉,斤,斤
954,肉类,猪肉类,【热鲜】正五花肉,肉块/斤,斤
955,肉类,猪肉类,【热鲜】正五花肉,肉片/斤,斤
956,新鲜蔬果,叶菜类,毛白菜,斤,斤
957,饮品,饮品,盐汽水,600ml*24瓶/件,件
958,新鲜蔬果,根茎类,大红薯,斤,斤
959,水产冻货,半成品,水发肉皮,斤,斤
960,肉类,猪肉类,【热鲜】去脊背五花肉,斤,斤
961,肉类,猪肉类,【热鲜】去脊背五花肉,肉块/斤,斤
962,肉类,猪肉类,【热鲜】去脊背五花肉,肉片/斤,斤
963,新鲜蔬果,叶菜类,大白菜,斤,斤
964,新鲜蔬果,叶菜类,大白菜,斤（去皮）,斤
965,调料干货,调味汁,海天鲜味生抽1.9L,1.9L*6/件,件
966,调料干货,调味汁,海天鲜味生抽1.9L,桶,桶
967,肉类,猪肉类,【热鲜】瘦肉,斤,斤
968,肉类,猪肉类,【热鲜】瘦肉,肉丝/斤,斤
969,肉类,猪肉类,【热鲜】瘦肉,肉块/斤,斤
970,肉类,猪肉类,【热鲜】瘦肉,肉沫/斤,斤
971,肉类,猪肉类,【热鲜】瘦肉,肉片/斤,斤
972,新鲜蔬果,根茎类,莲藕,斤（大）,斤
973,新鲜蔬果,根茎类,莲藕,斤（小）,斤
974,肉类,猪肉类,【热鲜】带脊背五花肉,斤,斤
975,肉类,猪肉类,【热鲜】带脊背五花肉,肉块/斤,斤
976,肉类,猪肉类,【热鲜】带脊背五花肉,肉片/斤,斤
977,新鲜蔬果,根茎类,新莲藕,斤,斤
978,水产冻货,半成品,干炸里脊,0.8KG*10包/件,件
979,水产冻货,半成品,干炸里脊,0.8KG/包,包
980,调料干货,调味汁,海天金标生抽1.9L,1.9L*6/件,件
981,调料干货,调味汁,海天金标生抽1.9L,桶,桶
982,肉类,猪肉类,【热鲜】红烧小肉块,斤,斤
983,新鲜蔬果,根茎类,茭白肉,斤,斤
984,水产冻货,半成品,尚品五花肉（把子肉）,10kg/件,件
985,调料干货,调味汁,海天蒸鱼豉油1.75L,1.75L*6/件,件
986,调料干货,调味汁,海天蒸鱼豉油1.75L,桶,桶
987,新鲜蔬果,根茎类,去皮茭白,斤,斤
988,肉类,猪肉类,【热鲜】带皮里脊肉,斤,斤
989,肉类,猪肉类,【热鲜】带皮里脊肉,肉块/斤,斤
990,肉类,猪肉类,【热鲜】带皮里脊肉,肉片/斤,斤
991,肉类,猪肉类,【热鲜】去皮后腿肉,斤,斤
992,肉类,猪肉类,【热鲜】去皮后腿肉,肉丝/斤,斤
993,肉类,猪肉类,【热鲜】去皮后腿肉,肉块/斤,斤
994,肉类,猪肉类,【热鲜】去皮后腿肉,肉沫/斤,斤
995,肉类,猪肉类,【热鲜】去皮后腿肉,肉片/斤,斤
996,水产冻货,半成品,安井包心鱼卷,2.5kg*4/件,件
997,水产冻货,半成品,安井包心鱼卷,2.5kg/包,包
998,调料干货,调味汁,海天味极鲜酱油1.9L,1.9L*6/件,件
999,调料干货,调味汁,海天味极鲜酱油1.9L,桶,桶
1000,新鲜蔬果,根茎类,带皮茭白,斤,斤
1001,调料干货,调味粉,甄选精制岩盐（无碘）,500g/包,包
1002,调料干货,调味粉,甄选精制岩盐（无碘）,350克*50包/箱,件
1003,肉类,猪肉类,【热鲜】后腿肉,斤,斤
1004,肉类,猪肉类,【热鲜】后腿肉,肉块/斤,斤
1005,肉类,猪肉类,【热鲜】后腿肉,肉片/斤,斤
1006,新鲜蔬果,根茎类,蒜苗（大蒜叶）,斤,斤
1007,水产冻货,半成品,地道肠（70g）,10根*20包/箱,箱
1008,水产冻货,半成品,地道肠（70g）,10根/包,包
1009,调料干货,调味汁,海天金标生抽4.9L,4.9L*2/件,件
1010,调料干货,调味汁,海天金标生抽4.9L,桶,桶
1011,肉类,猪肉类,【热鲜】去皮前腿肉,斤,斤
1012,肉类,猪肉类,【热鲜】去皮前腿肉,肉丝/斤,斤
1013,肉类,猪肉类,【热鲜】去皮前腿肉,肉块/斤,斤
1014,肉类,猪肉类,【热鲜】去皮前腿肉,肉沫/斤,斤
1015,肉类,猪肉类,【热鲜】去皮前腿肉,肉片/斤,斤
1016,新鲜蔬果,根茎类,大葱,斤,斤
1017,肉类,猪肉类,【热鲜】前腿肉,斤,斤
1018,肉类,猪肉类,【热鲜】前腿肉,肉块/斤,斤
1019,肉类,猪肉类,【热鲜】前腿肉,肉片/斤,斤
1020,水产冻货,半成品,切片面筋,2.5kg*4包/件,件
1021,水产冻货,半成品,切片面筋,2.5kg/包,包
1022,调料干货,调味汁,川味辣油,235ml/瓶,瓶
1023,新鲜蔬果,根茎类,韭黄,斤,斤
1024,肉类,猪肉类,【热鲜】中肉（后腿）,瘦肉厚约1cm/斤（烧毛）,斤
1025,肉类,猪肉类,【热鲜】中肉（后腿）,瘦肉厚约1cm/斤,斤
1026,肉类,猪肉类,【热鲜】中肉（后腿）,肉片/斤,斤
1027,水产冻货,半成品,冻玉米粒,约1kg*10包/件,件
1028,水产冻货,半成品,冻玉米粒,1kg/包,包
1029,调料干货,调味汁,南乳汁,560g/瓶,瓶
1030,水产冻货,半成品,冻玉米棒,40个/件,件
1031,新鲜蔬果,根茎类,蒜黄,斤,斤
1032,新鲜蔬果,根茎类,韭菜苔,斤,斤
1033,调料干货,调味汁,家乐浓缩鸡汁,1kg*6/件,件
1034,调料干货,调味汁,家乐浓缩鸡汁,1kg/瓶,瓶
1035,水产冻货,半成品,冻杂菜粒,约5斤*4/件,件
1036,水产冻货,半成品,冻杂菜粒,约5斤/包,包
1037,水产冻货,半成品,冻杂菜粒,约1kg*10包/件,件
1038,水产冻货,半成品,冻杂菜粒,约1kg/包,包
1039,新鲜蔬果,根茎类,蒜苔,斤,斤
1040,新鲜蔬果,根茎类,韭菜,斤,斤
1041,豆品蛋类,包点,北方馒头,90g*12个*8袋,件
1042,新鲜蔬果,根茎类,西芹,斤,斤
1043,调料干货,调味汁,金龙鱼草菇老抽,1.8L*6/箱,件
1044,调料干货,调味汁,金龙鱼草菇老抽,1.8L/桶,桶
1045,新鲜蔬果,根茎类,毛芹,斤,斤
1046,调料干货,调味汁,金龙鱼生抽酱油,1.8L*6/箱,箱
1047,调料干货,调味汁,金龙鱼生抽酱油,1.8L/桶,桶
1048,新鲜蔬果,根茎类,芹菜,斤,斤
1049,水产冻货,半成品,双汇爆炒肠,200g*20/件,件
1050,水产冻货,半成品,双汇爆炒肠,200g/条,条
1051,新鲜蔬果,根茎类,蒜苔(优),斤,斤
1052,新鲜蔬果,根茎类,去皮玉米棒,斤,斤
1053,调料干货,调味汁,恒顺料酒,1.75L*6桶/件,件
1054,调料干货,调味汁,恒顺料酒,1.75L/桶,桶
1055,新鲜蔬果,根茎类,玉米棒,斤,斤
1056,豆品蛋类,包点,安井桂花糕（300g）,24包/箱,箱
1057,豆品蛋类,包点,安井桂花糕（300g）,10个/包,包
1058,调料干货,调味汁,海天金字装蚝油6kg,6kg*2/件,件
1059,调料干货,调味汁,海天金字装蚝油6kg,桶,桶
1060,调料干货,调味汁,海天草菇老抽1.9L,1.9L*6/件,件
1061,调料干货,调味汁,海天草菇老抽1.9L,桶,桶
1062,新鲜蔬果,根茎类,西兰花,斤/优,斤
1063,新鲜蔬果,根茎类,西兰花,斤/普,斤
1064,豆品蛋类,包点,手撕红糖馒头,6个/包,包
1065,新鲜蔬果,根茎类,花菜,斤,斤
1066,新鲜蔬果,根茎类,花菜,斤（精品）,斤
1067,调料干货,调味汁,海天老抽王 1.9L,1.9L*6/件,件
1068,调料干货,调味汁,海天老抽王 1.9L,桶,桶
1069,新鲜蔬果,根茎类,净莴笋肉,斤（精品）,斤
1070,新鲜蔬果,根茎类,净莴笋肉,斤,斤
1071,调料干货,调味汁,海天生抽酱油1.9L,1.9L*6/件,件
1072,调料干货,调味汁,海天生抽酱油1.9L,桶,桶
1073,水产冻货,半成品,嫩鸭血,300g*20盒/件,件
1074,水产冻货,半成品,嫩鸭血,300g/盒,盒
1075,豆品蛋类,包点,奶香馒头,1kg*8包*48个/件,件
1076,豆品蛋类,包点,奶香馒头,48个/包,包
1077,新鲜蔬果,根茎类,去皮莴笋,斤,斤
1078,新鲜蔬果,根茎类,莴笋,斤,斤
1079,水产冻货,半成品,嫩猪血,435g*20盒/件,件
1080,水产冻货,半成品,嫩猪血,435g/盒,盒
1081,新鲜蔬果,根茎类,红洋葱,斤,斤
1082,新鲜蔬果,根茎类,白洋葱,斤,斤
1083,水产冻货,半成品,毛豆米（冷鲜）,1kg*10包/箱,箱
1084,水产冻货,半成品,毛豆米（冷鲜）,1kg/包,包
1085,新鲜蔬果,根茎类,荷兰土豆,斤,斤
1086,新鲜蔬果,根茎类,新土豆,丝/斤,斤
1087,新鲜蔬果,根茎类,新土豆,斤,斤
1088,新鲜蔬果,根茎类,新土豆,片/斤,斤
1089,水产冻货,半成品,冻狮子头,2.5kg*4/件,件
1090,水产冻货,半成品,冻狮子头,2.5kg/包,包
1091,新鲜蔬果,根茎类,青萝卜,斤,斤
1092,新鲜蔬果,根茎类,胡萝卜,斤,斤
1093,水产冻货,半成品,雨润配餐三文治,1.8kg*4块/箱,箱
1094,水产冻货,半成品,雨润配餐三文治,1.8kg/块,1.8kg
1095,新鲜蔬果,根茎类,白萝卜,斤,斤
1096,水产冻货,半成品,卡滋脆鸡排,1kg*10/件,件
1097,水产冻货,半成品,卡滋脆鸡排,1kg/包,包
1098,水产冻货,半成品,双汇三文治香肠,1.8kg*4/件,件
1099,水产冻货,半成品,双汇三文治香肠,1.8kg/条,条
1100,水产冻货,半成品,青花椒油皇鸡,1kg*10包/件,包
1101,水产冻货,半成品,青花椒油皇鸡,1kg/包,包
1102,豆品蛋类,包点,猪肉白菜水饺,500g*20包/件,件
1103,豆品蛋类,包点,猪肉白菜水饺,包（500g）,包
1104,水产冻货,半成品,蛋饺,约200个/件,件
1105,水产冻货,半成品,蛋饺,约50个/包,包
1106,水产冻货,半成品,芊叶豆腐,2.5kg*4包/件,件
1107,水产冻货,半成品,芊叶豆腐,2.5kg/包,包
1108,水产冻货,半成品,深海鳕鱼排,31G*10片*20盒/件,件
1109,水产冻货,半成品,深海鳕鱼排,31G*10片/盒,盒
1110,水产冻货,半成品,日本豆腐,50支/件,件
1111,水产冻货,半成品,黑椒肉柳,2.5kg*4包/件,件
1112,水产冻货,半成品,黑椒肉柳,2.5kg/包,包
1113,水产冻货,半成品,四喜丸子,2.5KG*4包/件,件
1114,水产冻货,半成品,四喜丸子,2.5KG/包,包
1115,水产冻货,半成品,老味道炸肉丸,1kg*10/件,件
1116,水产冻货,半成品,老味道炸肉丸,1kg/包,包
1117,水产冻货,半成品,黑椒猪排,80G*25片*4包/件,件
1118,水产冻货,半成品,黑椒猪排,80G*25片/包,包
1119,水产冻货,半成品,小酥肉,0.8kg*10/件,件
1120,水产冻货,半成品,小酥肉,0.8kg/包,包
1121,水产冻货,半成品,荷包蛋,约50个*4/件,件
1122,水产冻货,半成品,荷包蛋,约50个/包,包
1123,水产冻货,半成品,香脆藕盒,0.9kg*10/件,件
1124,水产冻货,半成品,香脆藕盒,0.9kg/包,包
1125,水产冻货,半成品,锅包肉,0.8kg*10/件,件
1126,水产冻货,半成品,锅包肉,0.8kg/包,包
1127,水产冻货,半成品,盐酥鸡,1kg*10/件,件
1128,水产冻货,半成品,盐酥鸡,1kg/包,包
1129,水产冻货,半成品,小炒鸡杂,1kg*10/件,件
1130,水产冻货,半成品,小炒鸡杂,1kg/包,包
1131,水产冻货,半成品,培根,1.5kg*8/件,件
1132,水产冻货,半成品,培根,1.5kg/包,包
1133,水产冻货,半成品,油条,6包/件,件
1134,水产冻货,半成品,油条,约40g*20根/包,包
